French,English
sympa,nice
pars,leave
fasse,make
avion,plane
bordel,mess
habitude,habit
table,table
rouge,red
système,system
photos,photos
médecin,doctor
seras,will be
bateau,boat
stupide,stupid
faim,hunger
autour,around
fond,bottom
surprise,surprise
croyez,believe
devais,should
ligne,line
porter,to carry
imagine,imagine
colère,anger
clair,clear
seront,will be
savait,knew
balle,ball
gagné,won
or,gold
hors,out
magnifique,Magnificent
risque,risk
terminé,finished
su,su
heureuse,happy
mission,assignment
jolie,pretty
parlez,speak
présent,here
sorti,out
cadeau,gift
expliquer,explain
volé,stolen
plusieurs,several
gauche,LEFT
ferait,would
neuf,nine
passe-t-il,what happens
ouvre,opens
disais,I was saying
dedans,inside
disent,say
pouvons,we
allez-y,Go for it
suivre,follow
pourra,will be able to
inspecteur,inspector
réponse,answer
lumière,light
pieds,feet
pote,pal
montre,watch
pied,foot
marcher,to walk
charlie,Charlie
auras,auras
envoyer,send
vraie,TRUE
espèce,species
doivent,must
allô,Hello
pareil,The same
vas-tu,are you going
soleil,sun
camp,camp
fallait,it was
coin,corner
ignore,ignore
moitié,half
you,you
selon,according to
tenir,hold
grosse,fat
vouloir,to want
michael,Michael
vieille,old
devenu,became
continuer,continue
rend,makes
sortie,exit
recherche,research
arrière,back
lire,read
doucement,gently
joli,pretty
avance,advance
exact,exact
disait,said
club,club
arrivée,arrival
tue,kills
laquelle,which
poser,to set down
chaud,hot
aimé,love
david,David
fais-tu,do you
tom,tom
professeur,teacher
quitter,to leave
loi,law
tueur,killer
donne-moi,give me
flics,cops
connaître,to know
lettre,letter
forme,shape
connaît,knows
conseil,advice
bar,bar
normal,normal
danger,hazard
dangereux,dangerous
folle,crazy
jure,sworn
tiré,drawn
essaye,try
bonnes,good
offre,offer
but,aim
froid,cold
allez-vous,are you going
prêts,ready
tranquille,calm
gamin,kid
joe,Joe
classe,class
joué,plays
poste,job
con,con
mike,Mike
attaque,attack
boîte,box
enquête,investigation
visite,visit
juge,judge
moi-même,myself
bord,edge
debout,standing
envoie,send
preuve,evidence
oublier,forget
bons,good
vivant,alive
ciel,sky
lu,read
touche,touch
aimer,to like
faites-vous,do you
télé,TV
met,put
écouter,listen
serez,will be
ll,he
pourtant,Yet
change,exchange
triste,sad
droite,RIGHT
gueule,mouth
tombe,fall
sentir,feel
ouvrir,open
travers,through
santé,health
dossier,case
ie,i.e.
jeunes,young people
frank,frank
coucher,to sleep
cuisine,kitchen
monte,mounted
pouvez-vous,can you
